Team,Team Score,Opponent,Opponent Score,Map,Team Ranking (points),Opponent Ranking (points),Result
Astralis,16,HellRaisers,19,ovp,971,154,loss
NiP,16,Heroic,19,trn,328,105,loss
Heroic,6,NiP,16,inf,105,328,loss
Renegades,9,Liquid,16,cbl,228,321,loss
Liquid,16,Renegades,12,mrg,321,228,win
mousesports,14,Heroic,16,cbl,639,105,loss
FaZe,11,Astralis,16,mrg,839,971,loss
Heroic,5,mousesports,16,inf,105,639,loss
Astralis,19,FaZe,15,inf,971,839,win
NiP,16,G2,12,inf,328,242,win
mousesports,2,FaZe,16,mrg,639,839,loss
G2,11,NiP,16,mrg,242,328,loss
FaZe,16,mousesports,10,inf,839,639,win
Astralis,16,North,11,nuke,971,174,win
North,4,Astralis,16,inf,174,971,loss
NiP,16,mousesports,12,trn,328,639,win
mousesports,16,NiP,8,mrg,639,328,win
Heroic,8,FaZe,16,trn,105,839,loss
NiP,7,Virtus.pro,16,trn,328,160,loss
FaZe,16,Heroic,9,mrg,839,105,win
mousesports,4,G2,16,nuke,639,242,loss
G2,17,mousesports,19,inf,242,639,loss
Cloud9,8,fnatic,16,mrg,430,604,loss
G2,16,Astralis,14,inf,242,971,win
Virtus.pro,22,FaZe,20,trn,160,839,win
Astralis,16,G2,12,mrg,971,242,win
FaZe,16,Virtus.pro,8,inf,839,160,win
North,6,Heroic,16,inf,174,105,loss
Virtus.pro,12,Astralis,16,cch,160,971,loss
Heroic,16,North,11,nuke,105,174,win
Astralis,16,Virtus.pro,8,inf,971,160,win
FaZe,12,mousesports,16,inf,839,639,loss
mousesports,16,FaZe,10,mrg,639,839,win
Liquid,19,Cloud9,16,inf,321,430,win
Cloud9,7,Liquid,16,mrg,430,321,loss
G2,14,Space Soldiers,16,cch,242,150,loss
Space Soldiers,16,G2,5,cbl,150,242,win
NiP,16,AGO,10,cch,328,93,win
AGO,12,NiP,16,trn,93,328,loss
Heroic,19,HellRaisers,15,mrg,105,154,win
HellRaisers,16,Heroic,4,inf,154,105,win
AGO,12,Natus Vincere,16,mrg,93,620,loss
Natus Vincere,16,AGO,9,ovp,620,93,win
Space Soldiers,8,Natus Vincere,16,mrg,150,620,loss
Natus Vincere,6,Space Soldiers,16,inf,620,150,loss
mousesports,13,North,16,trn,639,174,loss
North,8,mousesports,16,inf,174,639,loss
G2,16,Virtus.pro,12,nuke,242,160,win
Heroic,9,fnatic,16,cbl,105,604,loss
NiP,10,North,16,inf,328,174,loss
Liquid,16,Gambit,10,mrg,321,264,win
Renegades,13,Astralis,16,trn,228,971,loss
Space Soldiers,10,NiP,16,cch,150,328,loss
fnatic,16,G2,10,inf,604,242,win
NiP,19,Space Soldiers,15,trn,328,150,win
G2,10,fnatic,16,cch,242,604,loss
North,16,Natus Vincere,10,inf,174,620,win
Heroic,16,Astralis,14,mrg,105,971,win
Natus Vincere,16,North,8,trn,620,174,win
Astralis,10,Heroic,16,nuke,971,105,loss
NiP,14,fnatic,16,inf,328,604,loss
FaZe,16,AGO,11,cch,839,93,win
fnatic,16,NiP,10,cbl,604,328,win
AGO,7,FaZe,16,trn,93,839,loss
AGO,8,G2,16,cbl,93,242,loss
G2,16,AGO,12,cch,242,93,win
Astralis,16,mousesports,14,inf,971,639,win
fnatic,11,HellRaisers,16,inf,604,154,loss
HellRaisers,22,fnatic,19,ovp,154,604,win
mousesports,16,Astralis,9,mrg,639,971,win
FaZe,23,Natus Vincere,25,mrg,839,620,loss
Heroic,5,Space Soldiers,16,trn,105,150,loss
Natus Vincere,16,FaZe,6,inf,620,839,win
Space Soldiers,16,Heroic,1,cbl,150,105,win
SK,7,Cloud9,16,trn,331,430,loss
Cloud9,13,SK,16,inf,430,331,loss
Astralis,22,FaZe,20,trn,971,839,win
FaZe,14,Astralis,16,inf,839,971,loss
HellRaisers,16,Natus Vincere,14,ovp,154,620,win
mousesports,16,fnatic,11,ovp,639,604,win
Natus Vincere,16,HellRaisers,6,inf,620,154,win
fnatic,7,mousesports,16,mrg,604,639,loss
FaZe,16,G2,13,ovp,839,242,win
G2,11,FaZe,16,cch,242,839,loss
Cloud9,16,SK,2,inf,430,331,win
mousesports,16,Space Soldiers,13,mrg,639,150,win
Vega Squadron,4,Cloud9,16,mrg,639,430,loss
fnatic,16,Gambit,2,mrg,604,264,win
fnatic,7,Natus Vincere,16,inf,604,620,loss
Gambit,10,SK,16,ovp,264,331,loss
Liquid,12,Vega Squadron,16,inf,321,331,loss
Astralis,6,Cloud9,16,trn,971,430,loss
Space Soldiers,13,Gambit,16,trn,150,264,loss
Virtus.pro,7,Cloud9,16,mrg,160,430,loss
SK,12,FaZe,16,cch,331,839,loss
fnatic,16,Astralis,8,mrg,604,971,win
Liquid,9,Natus Vincere,16,ovp,321,620,loss
mousesports,16,Vega Squadron,3,mrg,639,620,win
Astralis,16,North,14,trn,971,174,win
Virtus.pro,6,fnatic,16,inf,160,604,loss
SK,16,mousesports,12,mrg,331,639,win
G2,16,Liquid,8,inf,242,321,win
FaZe,16,Vega Squadron,3,trn,839,321,win
Space Soldiers,16,Cloud9,13,cbl,150,430,win
SK,16,Space Soldiers,13,mrg,331,150,win
