Team,Team Score,Opponent,Opponent Score,Map,Team Ranking (points),Opponent Ranking (points),Result
Heroic,12,Astralis,16,inf,105,971,loss
BIG,8,FaZe,16,ovp,105,839,loss
Astralis,16,Heroic,6,ovp,971,105,win
HellRaisers,16,EnVyUs,19,cch,154,83,loss
North,16,G2,7,cbl,174,242,win
EnVyUs,16,HellRaisers,14,cbl,83,154,win
G2,16,North,9,nuke,242,174,win
FaZe,16,mousesports,14,mrg,839,639,win
mousesports,16,FaZe,9,cch,639,839,win
HellRaisers,11,BIG,16,cbl,154,839,loss
Astralis,6,G2,16,inf,971,242,loss
G2,16,Astralis,9,ovp,242,971,win
BIG,7,HellRaisers,16,cch,242,154,loss
Liquid,3,SK,16,cbl,321,331,loss
SK,12,Liquid,16,trn,331,321,loss
fnatic,16,BIG,11,cbl,604,321,win
BIG,9,fnatic,16,trn,604,604,loss
Heroic,16,HellRaisers,14,ovp,105,154,win
FaZe,16,G2,12,ovp,839,242,win
HellRaisers,8,Heroic,16,mrg,154,105,loss
G2,3,FaZe,16,cch,242,839,loss
EnVyUs,11,HellRaisers,16,cbl,83,154,loss
EnVyUs,9,Heroic,16,inf,83,105,loss
Virtus.pro,16,Cloud9,10,trn,160,430,win
fnatic,16,G2,10,ovp,604,242,win
SK,16,Immortals,9,ovp,331,242,win
North,16,Virtus.pro,14,mrg,174,160,win
G2,6,Astralis,16,inf,242,971,loss
Natus Vincere,12,fnatic,16,mrg,620,604,loss
mousesports,11,Cloud9,16,trn,639,430,loss
SK,14,BIG,16,inf,331,430,loss
Gambit,16,Virtus.pro,11,trn,264,160,win
fnatic,14,Astralis,16,nuke,604,971,loss
G2,19,Cloud9,17,cbl,242,430,win
Natus Vincere,10,Immortals,16,ovp,620,430,loss
mousesports,15,North,19,cbl,639,174,loss
Virtus.pro,16,fnatic,11,cch,160,604,win
SK,16,Astralis,8,inf,331,971,win
Gambit,16,G2,6,cch,264,242,win
BIG,16,Cloud9,11,inf,264,430,win
mousesports,19,FaZe,15,trn,639,839,win
Astralis,19,Immortals,17,ovp,971,839,win
Natus Vincere,14,G2,16,ovp,620,242,loss
North,12,Cloud9,16,mrg,174,430,loss
FaZe,8,BIG,16,inf,839,430,loss
SK,16,PENTA,13,inf,331,430,win
Gambit,16,mousesports,10,inf,264,639,win
CLG,10,NiP,16,ovp,264,328,loss
North,7,FaZe,16,inf,174,839,loss
Cloud9,22,mousesports,20,inf,430,639,win
fnatic,6,SK,16,mrg,604,331,loss
FaZe,10,OpTic,16,trn,839,331,loss
SK,11,G2,16,inf,331,242,loss
Natus Vincere,16,mousesports,4,mrg,620,639,win
Cloud9,16,Immortals,11,trn,430,639,win
Liquid,16,OpTic,5,cbl,321,639,win
NiP,16,mousesports,10,cch,328,639,win
fnatic,12,FaZe,16,ovp,604,839,loss
Immortals,7,G2,16,cbl,604,242,loss
North,10,SK,16,cch,174,331,loss
G2,6,NiP,16,cch,242,328,loss
Immortals,15,Liquid,19,trn,242,321,loss
mousesports,16,FaZe,12,nuke,639,839,win
Cloud9,32,Natus Vincere,34,trn,430,620,loss
SK,16,Virtus.pro,9,mrg,331,160,win
Natus Vincere,7,Liquid,16,inf,620,321,loss
North,9,OpTic,16,cbl,174,321,loss
NiP,16,Cloud9,12,cch,328,430,win
Immortals,16,Virtus.pro,12,cbl,328,160,win
mousesports,16,fnatic,11,trn,639,604,win
HellRaisers,13,Immortals,16,ovp,154,604,loss
BIG,16,Liquid,10,trn,154,321,win
Liquid,16,HellRaisers,2,trn,321,154,win
PENTA,14,mousesports,16,cbl,321,639,loss
BIG,16,Immortals,9,cch,321,639,win
G2,16,Cloud9,11,cch,242,430,win
Liquid,3,PENTA,16,mrg,321,430,loss
BIG,10,Cloud9,16,cbl,321,430,loss
OpTic,14,PENTA,16,trn,321,430,loss
G2,22,Immortals,20,inf,242,430,win
Cloud9,19,Astralis,15,mrg,430,971,win
Liquid,11,Astralis,16,inf,321,971,loss
Cloud9,16,fnatic,8,trn,430,604,win
FaZe,8,SK,16,trn,839,331,loss
G2,7,SK,16,cch,242,331,loss
FaZe,16,OpTic,9,ovp,839,331,win
CLG,31,fnatic,28,trn,839,604,win
SK,10,Immortals,16,cch,331,604,loss
fnatic,16,Cloud9,12,mrg,604,430,win
mousesports,6,Immortals,16,cbl,639,430,loss
Gambit,16,CLG,19,ovp,264,430,loss
Cloud9,16,CLG,12,mrg,430,430,win
Virtus.pro,14,G2,16,trn,160,242,loss
G2,16,Virtus.pro,10,ovp,242,160,win
mousesports,6,FaZe,16,cch,639,839,loss
FaZe,11,mousesports,16,mrg,839,639,loss
NiP,16,G2,11,trn,328,242,win
G2,16,NiP,12,cch,242,328,win
Renegades,13,CLG,16,cbl,228,328,loss
CLG,16,Renegades,13,cch,228,228,win
Liquid,16,North,10,cbl,321,174,win
OpTic,16,Natus Vincere,8,cbl,321,620,win
mousesports,16,Liquid,12,inf,639,321,win
North,16,OpTic,14,mrg,174,321,win
mousesports,16,OpTic,12,cbl,639,321,win
fnatic,11,G2,16,ovp,604,242,loss
Immortals,16,Cloud9,8,mrg,604,430,win
G2,16,SK,6,cbl,242,331,win
G2,10,Immortals,16,ovp,242,331,loss
fnatic,16,Cloud9,6,nuke,604,430,win
North,16,Natus Vincere,13,mrg,174,620,win
Liquid,16,OpTic,5,nuke,321,620,win
mousesports,19,Natus Vincere,15,cbl,639,620,win
mousesports,17,North,19,nuke,639,174,loss
Liquid,4,Natus Vincere,16,trn,321,620,loss
fnatic,3,SK,16,cch,604,331,loss
SK,16,Immortals,5,mrg,331,331,win
G2,4,Cloud9,16,inf,242,430,loss
SK,16,Cloud9,7,cbl,331,430,win
Immortals,9,SK,16,cbl,331,331,loss
SK,16,Immortals,19,ovp,331,331,loss
Cloud9,13,Liquid,16,mrg,430,321,loss
Liquid,10,Cloud9,16,trn,321,430,loss
Virtus.pro,2,NiP,16,trn,160,328,loss
NiP,16,Virtus.pro,11,nuke,328,160,win
FaZe,16,Astralis,10,nuke,839,971,win
Astralis,16,FaZe,1,trn,971,839,win
Immortals,16,CLG,13,mrg,971,839,win
CLG,4,Immortals,16,cbl,971,839,loss
Cloud9,8,SK,16,cbl,430,331,loss
SK,9,Cloud9,16,cch,331,430,loss
FaZe,16,fnatic,11,trn,839,604,win
fnatic,19,FaZe,17,mrg,604,839,win
Liquid,10,SK,16,cbl,321,331,loss
SK,16,Liquid,12,mrg,331,321,win
fnatic,14,G2,16,trn,604,242,loss
G2,16,fnatic,8,cbl,242,604,win
mousesports,7,Astralis,16,mrg,639,971,loss
Astralis,20,mousesports,22,nuke,971,639,loss
mousesports,17,fnatic,19,nuke,639,604,loss
fnatic,16,mousesports,10,trn,604,639,win
CLG,15,SK,19,cch,604,331,loss
SK,16,CLG,10,ovp,331,331,win
Astralis,8,fnatic,16,inf,971,604,loss
fnatic,1,Astralis,16,trn,604,971,loss
OpTic,17,Immortals,19,mrg,604,971,loss
Immortals,10,OpTic,16,cbl,604,971,loss
FaZe,16,G2,14,ovp,839,242,win
G2,5,FaZe,16,nuke,242,839,loss
OpTic,5,Cloud9,16,cbl,242,430,loss
Cloud9,4,OpTic,16,trn,430,430,loss
Misfits,16,CLG,13,cch,430,430,win
SK,12,CLG,16,mrg,331,430,loss
Misfits,13,Immortals,16,cch,331,430,loss
CLG,16,SK,12,trn,331,331,win
Natus Vincere,25,Heroic,22,cbl,620,105,win
FaZe,14,G2,16,cch,839,242,loss
NiP,16,HellRaisers,5,cch,328,154,win
fnatic,16,mousesports,6,mrg,604,639,win
Virtus.pro,7,North,16,cch,160,174,loss
Heroic,16,Natus Vincere,14,ovp,105,620,win
HellRaisers,14,NiP,16,trn,154,328,loss
mousesports,10,fnatic,16,cch,639,604,loss
North,16,Virtus.pro,6,inf,174,160,win
G2,16,FaZe,4,inf,242,839,win
Cloud9,11,Liquid,16,inf,430,321,loss
Liquid,16,Cloud9,5,trn,321,430,win
CLG,14,Cloud9,16,cch,321,430,loss
Cloud9,16,CLG,13,mrg,430,430,win
mousesports,16,G2,13,trn,639,242,win
G2,16,mousesports,11,cbl,242,639,win
Virtus.pro,9,fnatic,16,mrg,160,604,loss
FaZe,19,HellRaisers,15,cch,839,154,win
fnatic,19,Virtus.pro,15,inf,604,160,win
HellRaisers,16,FaZe,14,trn,154,839,win
CLG,15,OpTic,19,mrg,154,839,loss
Natus Vincere,3,mousesports,16,mrg,620,639,loss
Heroic,10,mousesports,16,cbl,105,639,loss
Immortals,12,Liquid,16,cbl,105,321,loss
Liquid,16,Immortals,13,cbl,321,321,win
Virtus.pro,11,mousesports,16,ovp,160,639,loss
mousesports,18,Virtus.pro,22,trn,639,160,loss
FaZe,16,OpTic,6,trn,839,160,win
SK,16,Astralis,12,inf,331,971,win
North,16,FaZe,19,cch,174,839,loss
CLG,16,Liquid,4,cch,174,321,win
Liquid,16,CLG,12,cbl,321,321,win
NiP,16,fnatic,14,cbl,328,604,win
fnatic,16,NiP,13,inf,604,328,win
mousesports,11,NiP,16,cbl,639,328,loss
NiP,11,mousesports,16,cch,328,639,loss
FaZe,7,Astralis,16,cbl,839,971,loss
SK,16,North,14,cbl,331,174,win
North,25,OpTic,23,inf,174,174,win
GODSENT,10,mousesports,16,cch,115,639,loss
mousesports,11,GODSENT,16,mrg,639,115,loss
Immortals,16,Cloud9,7,inf,639,430,win
HellRaisers,7,Gambit,16,nuke,154,264,loss
G2,10,Cloud9,16,cch,242,430,loss
Gambit,25,Heroic,23,trn,264,105,win
Immortals,16,Liquid,11,inf,264,321,win
mousesports,16,Natus Vincere,0,mrg,639,620,win
Natus Vincere,8,mousesports,16,nuke,620,639,loss
Liquid,9,Immortals,16,inf,321,639,loss
Immortals,3,Liquid,16,cbl,321,321,loss
fnatic,16,Astralis,14,trn,604,971,win
NiP,3,North,16,cbl,328,174,loss
Astralis,16,fnatic,6,inf,971,604,win
North,16,NiP,1,cch,174,328,win
G2,10,Virtus.pro,16,inf,242,160,loss
FaZe,16,NiP,1,inf,839,328,win
Virtus.pro,13,G2,16,nuke,160,242,loss
NiP,13,FaZe,16,nuke,328,839,loss
FaZe,16,Virtus.pro,4,nuke,839,160,win
Virtus.pro,11,FaZe,16,inf,160,839,loss
HellRaisers,8,mousesports,16,cch,154,639,loss
Astralis,9,G2,16,cch,971,242,loss
Virtus.pro,10,FaZe,16,inf,160,839,loss
mousesports,16,HellRaisers,12,mrg,639,154,win
G2,16,Astralis,12,trn,242,971,win
FaZe,16,Virtus.pro,4,trn,839,160,win
North,16,Kinguin,5,inf,174,160,win
Kinguin,11,North,16,cbl,174,174,loss
Heroic,16,Virtus.pro,9,trn,105,160,win
Virtus.pro,1,Heroic,16,nuke,160,105,loss
G2,13,Natus Vincere,16,ovp,242,620,loss
Natus Vincere,10,G2,16,nuke,620,242,loss
Astralis,12,NiP,16,cch,971,328,loss
NiP,12,Astralis,16,inf,328,971,loss
mousesports,19,FaZe,17,inf,639,839,win
FaZe,16,mousesports,10,ovp,839,639,win
OpTic,4,SK,16,ovp,839,331,loss
SK,15,OpTic,19,cch,331,331,loss
Astralis,16,G2,12,trn,971,242,win
G2,16,Astralis,6,nuke,242,971,win
Immortals,13,Cloud9,16,cbl,242,430,loss
Cloud9,6,Immortals,16,cch,430,430,loss
OpTic,16,CLG,11,trn,430,430,win
CLG,16,OpTic,13,cch,430,430,win
Virtus.pro,16,Astralis,8,trn,160,971,win
Astralis,16,Virtus.pro,9,inf,971,160,win
OpTic,11,Liquid,16,cbl,971,321,loss
Liquid,16,OpTic,8,cbl,321,321,win
NiP,14,Astralis,16,cch,328,971,loss
Astralis,14,NiP,16,trn,971,328,loss
Liquid,16,SK,14,inf,321,331,win
SK,16,Liquid,9,mrg,331,321,win
CLG,6,Immortals,16,ovp,331,321,loss
Immortals,16,CLG,8,inf,331,321,win
FaZe,25,North,22,mrg,839,174,win
mousesports,11,G2,16,nuke,639,242,loss
North,14,FaZe,16,cch,174,839,loss
G2,16,mousesports,10,cbl,242,639,win
fnatic,16,HellRaisers,14,cch,604,154,win
NiP,16,Virtus.pro,9,cbl,328,160,win
HellRaisers,10,fnatic,16,cbl,154,604,loss
Virtus.pro,16,NiP,6,nuke,160,328,win
Cloud9,16,SK,10,cch,430,331,win
SK,16,Cloud9,12,inf,331,430,win
OpTic,14,Liquid,16,cbl,331,321,loss
Liquid,16,OpTic,13,nuke,321,321,win
NiP,9,G2,16,trn,328,242,loss
Astralis,16,HellRaisers,14,mrg,971,154,win
G2,16,NiP,10,cbl,242,328,win
HellRaisers,9,Astralis,16,ovp,154,971,loss
Natus Vincere,16,Kinguin,5,inf,620,971,win
Kinguin,6,Natus Vincere,16,mrg,620,620,loss
fnatic,6,Heroic,16,cbl,604,105,loss
Heroic,11,fnatic,16,trn,105,604,loss
fnatic,16,NiP,7,trn,604,328,win
FaZe,16,SK,7,trn,839,331,win
Astralis,16,SK,12,trn,971,331,win
HellRaisers,16,NiP,13,ovp,154,328,win
FaZe,13,North,16,cch,839,174,loss
Virtus.pro,2,fnatic,16,inf,160,604,loss
fnatic,13,Astralis,16,mrg,604,971,loss
SK,8,G2,16,ovp,331,242,loss
NiP,16,Virtus.pro,5,nuke,328,160,win
Natus Vincere,16,North,11,inf,620,174,win
Gambit,13,FaZe,16,cch,264,839,loss
Virtus.pro,2,SK,16,mrg,160,331,loss
fnatic,9,Natus Vincere,16,ovp,604,620,loss
G2,16,HellRaisers,2,cbl,242,154,win
Astralis,16,North,19,inf,971,174,loss
FaZe,16,Immortals,10,mrg,839,174,win
NiP,6,G2,16,inf,328,242,loss
Gambit,8,fnatic,16,inf,264,604,loss
FaZe,10,HellRaisers,16,cch,839,154,loss
North,16,Immortals,3,cbl,174,154,win
G2,16,LDLC,5,inf,242,154,win
FaZe,16,fnatic,13,trn,839,604,win
LDLC,12,G2,16,nuke,839,242,loss
fnatic,16,FaZe,10,ovp,604,839,win
North,16,HellRaisers,10,mrg,174,154,win
HellRaisers,16,North,13,cch,154,174,win
Kinguin,9,Astralis,16,cch,154,971,loss
Astralis,16,Kinguin,7,ovp,971,971,win
Natus Vincere,8,NiP,16,cbl,620,328,loss
NiP,12,Natus Vincere,16,ovp,328,620,loss
G2,16,fnatic,5,trn,242,604,win
Cloud9,16,OpTic,6,trn,430,604,win
OpTic,11,Cloud9,16,nuke,430,430,loss
OpTic,7,SK,16,inf,430,331,loss
SK,14,OpTic,16,trn,331,331,loss
Heroic,12,mousesports,16,cbl,105,639,loss
mousesports,4,Heroic,16,nuke,639,105,loss
HellRaisers,16,Natus Vincere,11,mrg,154,620,win
Natus Vincere,16,HellRaisers,5,inf,620,154,win
HellRaisers,16,Kinguin,4,cch,154,154,win
G2,19,Kinguin,16,cbl,242,154,win
Astralis,9,FaZe,16,nuke,971,839,loss
FaZe,14,Astralis,16,inf,839,971,loss
Kinguin,8,G2,16,cch,839,242,loss
Heroic,10,North,16,mrg,105,174,loss
mousesports,11,Virtus.pro,16,nuke,639,160,loss
North,19,Heroic,16,ovp,174,105,win
Virtus.pro,16,mousesports,5,inf,160,639,win
Virtus.pro,10,HellRaisers,16,ovp,160,154,loss
HellRaisers,16,Virtus.pro,10,mrg,154,160,win
North,16,Natus Vincere,19,mrg,174,620,loss
Natus Vincere,4,North,16,cbl,620,174,loss
fnatic,14,NiP,16,inf,604,328,loss
NiP,16,fnatic,7,cch,328,604,win
G2,9,HellRaisers,16,ovp,242,154,loss
Natus Vincere,16,FaZe,6,mrg,620,839,win
HellRaisers,19,G2,15,inf,154,242,win
GODSENT,14,Gambit,16,ovp,115,264,loss
FaZe,9,Natus Vincere,16,trn,839,620,loss
Heroic,7,Astralis,16,inf,105,971,loss
fnatic,16,Natus Vincere,12,mrg,604,620,win
Astralis,16,Heroic,10,nuke,971,105,win
Natus Vincere,16,fnatic,7,trn,620,604,win
Kinguin,14,NiP,16,trn,620,328,loss
Astralis,16,North,11,nuke,971,174,win
NiP,16,Kinguin,12,cch,328,174,win
North,16,Astralis,4,ovp,174,971,win
HellRaisers,16,Heroic,6,trn,154,105,win
Virtus.pro,16,fnatic,5,mrg,160,604,win
Heroic,16,HellRaisers,12,mrg,105,154,win
fnatic,16,Virtus.pro,2,trn,604,160,win
NiP,9,FaZe,16,ovp,328,839,loss
mousesports,16,North,5,inf,639,174,win
North,8,mousesports,16,mrg,174,639,loss
FaZe,16,NiP,9,nuke,839,328,win
Astralis,15,Virtus.pro,19,nuke,971,160,loss
Virtus.pro,16,Astralis,8,inf,160,971,win
North,16,G2,10,inf,174,242,win
G2,13,North,16,nuke,242,174,loss
Cloud9,8,Immortals,16,cbl,430,174,loss
Immortals,9,Cloud9,16,trn,430,430,loss
G2,13,Heroic,16,ovp,242,105,loss
Heroic,13,G2,16,trn,105,242,loss
Heroic,16,Virtus.pro,14,nuke,105,160,win
Cloud9,6,Natus Vincere,16,mrg,430,620,loss
North,8,SK,16,cbl,174,331,loss
Cloud9,12,North,16,cbl,430,174,loss
Natus Vincere,12,Heroic,16,ovp,620,105,loss
SK,14,Virtus.pro,16,inf,331,160,loss
Natus Vincere,12,North,16,cbl,620,174,loss
Cloud9,4,Virtus.pro,16,mrg,430,160,loss
SK,16,Heroic,5,mrg,331,105,win
North,16,Virtus.pro,13,cbl,174,160,win
Cloud9,16,Heroic,7,cbl,430,105,win
North,17,Heroic,19,nuke,174,105,loss
Natus Vincere,16,SK,12,ovp,620,331,win
Cloud9,16,SK,9,nuke,430,331,win
Natus Vincere,16,Virtus.pro,9,trn,620,160,win
OpTic,13,NiP,16,inf,620,328,loss
FaZe,8,Astralis,16,trn,839,971,loss
OpTic,12,FaZe,16,trn,839,839,loss
Astralis,19,fnatic,17,inf,971,604,win
NiP,6,FaZe,16,cch,328,839,loss
OpTic,10,fnatic,16,trn,328,604,loss
NiP,24,Astralis,28,ovp,328,971,loss
FaZe,16,fnatic,11,trn,839,604,win
OpTic,12,Astralis,16,trn,839,971,loss
NiP,14,fnatic,16,cch,328,604,loss
Kinguin,14,mousesports,16,cbl,328,639,loss
mousesports,16,Kinguin,5,nuke,639,639,win
OpTic,16,Immortals,5,ovp,639,639,win
Immortals,16,OpTic,6,cbl,639,639,win
fnatic,16,G2,14,cbl,604,242,win
GODSENT,13,FlipSid3,16,cch,115,242,loss
FaZe,10,mousesports,16,mrg,839,639,loss
SK,16,Cloud9,6,ovp,331,430,win
Virtus.pro,10,Gambit,16,cbl,160,264,loss
Astralis,16,OpTic,9,nuke,971,264,win
Natus Vincere,12,mousesports,16,cbl,620,639,loss
NiP,14,Cloud9,16,ovp,328,430,loss
fnatic,8,Gambit,16,inf,604,264,loss
North,11,OpTic,16,inf,174,264,loss
Gambit,16,FlipSid3,2,d2,264,264,win
Kinguin,9,Virtus.pro,16,cbl,264,160,loss
Gambit,19,Space Soldiers,15,nuke,264,150,win
Virtus.pro,15,Kinguin,19,ovp,160,150,loss
fnatic,12,North,16,ovp,604,174,loss
North,16,fnatic,5,mrg,174,604,win
mousesports,16,NiP,10,trn,639,328,win
Virtus.pro,16,Natus Vincere,8,cbl,160,620,win
FlipSid3,16,Space Soldiers,12,nuke,160,150,win
Natus Vincere,16,Virtus.pro,10,trn,620,160,win
NiP,8,mousesports,16,d2,328,639,loss
SK,16,Immortals,7,cbl,331,639,win
Immortals,11,SK,16,cch,331,331,loss
mousesports,11,Astralis,16,nuke,639,971,loss
Kinguin,16,FaZe,8,d2,639,839,win
Astralis,8,mousesports,16,mrg,971,639,loss
FaZe,6,Kinguin,16,ovp,839,639,loss
Astralis,16,Natus Vincere,4,nuke,971,620,win
Natus Vincere,16,Astralis,11,ovp,620,971,win
Liquid,3,Astralis,16,mrg,321,971,loss
FaZe,16,EnVyUs,11,nuke,839,83,win
North,19,GODSENT,17,ovp,174,115,win
Gambit,16,FaZe,14,ovp,264,839,win
SK,19,Astralis,17,d2,331,971,win
GODSENT,16,OpTic,8,cch,115,971,win
mousesports,4,Liquid,16,nuke,639,321,loss
EnVyUs,11,fnatic,16,cbl,83,604,loss
North,16,G2,9,ovp,174,242,win
FlipSid3,13,OpTic,16,trn,174,242,loss
Liquid,18,FaZe,22,nuke,321,839,loss
SK,3,Natus Vincere,16,d2,331,620,loss
Astralis,16,G2,5,trn,971,242,win
Gambit,10,Virtus.pro,16,trn,264,160,loss
North,19,HellRaisers,15,mrg,174,154,win
GODSENT,3,EnVyUs,16,cch,115,83,loss
fnatic,16,mousesports,11,d2,604,639,win
Virtus.pro,16,G2,14,nuke,160,242,win
GODSENT,9,Gambit,16,ovp,115,264,loss
OpTic,12,Astralis,16,trn,115,971,loss
North,13,fnatic,16,cbl,174,604,loss
FlipSid3,14,Liquid,16,ovp,174,321,loss
FaZe,17,SK,19,mrg,839,331,loss
Natus Vincere,16,EnVyUs,6,cbl,620,83,win
mousesports,16,HellRaisers,7,cch,639,154,win
FlipSid3,9,FaZe,16,nuke,639,839,loss
Astralis,6,GODSENT,16,trn,971,115,loss
Liquid,21,EnVyUs,25,cch,321,83,loss
Natus Vincere,16,mousesports,3,cbl,620,639,win
Virtus.pro,16,OpTic,13,cbl,160,639,win
SK,16,HellRaisers,7,mrg,331,154,win
fnatic,10,G2,16,cch,604,242,loss
Gambit,16,North,8,cbl,264,174,win
Cloud9,13,HellRaisers,16,ovp,430,154,loss
Immortals,17,G2,19,cch,430,242,loss
mousesports,16,Immortals,3,cch,639,242,win
Dignitas,16,G2,9,nuke,639,242,win
OpTic,16,HellRaisers,10,trn,639,154,win
FaZe,16,Immortals,11,mrg,839,154,win
NiP,9,OpTic,16,ovp,328,154,loss
Cloud9,16,Renegades,9,mrg,430,228,win
GODSENT,16,HellRaisers,11,trn,115,154,win
FaZe,16,OpTic,11,ovp,839,154,win
GODSENT,16,Dignitas,11,mrg,115,154,win
G2,16,EnVyUs,12,d2,242,83,win
NiP,17,HellRaisers,19,ovp,328,154,loss
G2,11,GODSENT,16,ovp,242,115,loss
mousesports,6,HellRaisers,16,trn,639,154,loss
NiP,16,Renegades,9,d2,328,228,win
FaZe,19,Cloud9,17,mrg,839,430,win
EnVyUs,11,Immortals,16,cbl,83,430,loss
Dignitas,3,EnVyUs,16,nuke,83,83,loss
Immortals,19,EnVyUs,22,cch,83,83,loss
SK,7,Dignitas,16,ovp,331,83,loss
Astralis,16,FaZe,3,d2,971,839,win
FaZe,16,Cloud9,6,mrg,839,430,win
Astralis,16,OpTic,7,d2,971,430,win
mousesports,16,NiP,7,d2,639,328,win
NiP,16,mousesports,9,trn,328,639,win
EnVyUs,13,NiP,16,cch,83,328,loss
NiP,12,EnVyUs,16,nuke,328,83,loss
GODSENT,7,Astralis,16,mrg,115,971,loss
Astralis,16,GODSENT,3,d2,971,115,win
GODSENT,16,FaZe,7,mrg,115,839,win
FaZe,16,GODSENT,8,d2,839,115,win
Astralis,16,G2,2,ovp,971,242,win
G2,17,Astralis,19,ovp,242,971,loss
Dignitas,11,mousesports,16,cbl,242,639,loss
mousesports,16,Dignitas,9,mrg,639,639,win
fnatic,9,G2,16,d2,604,242,loss
G2,16,fnatic,9,ovp,242,604,win
NiP,16,G2,9,nuke,328,242,win
G2,16,NiP,4,cch,242,328,win
NiP,11,Astralis,16,cch,328,971,loss
Astralis,16,NiP,9,ovp,971,328,win
Dignitas,16,G2,6,nuke,971,242,win
G2,14,Dignitas,16,nuke,242,242,loss
Virtus.pro,11,Astralis,16,nuke,160,971,loss
Astralis,16,Virtus.pro,4,trn,971,160,win
OpTic,10,Gambit,16,cbl,971,264,loss
mousesports,10,G2,16,d2,639,242,loss
G2,12,mousesports,16,d2,242,639,loss
mousesports,14,EnVyUs,16,d2,639,83,loss
EnVyUs,16,mousesports,14,cch,83,639,win
FaZe,11,NiP,16,trn,839,328,loss
NiP,4,FaZe,16,cch,328,839,loss
FaZe,16,G2,2,ovp,839,242,win
G2,20,FaZe,22,cch,242,839,loss
Virtus.pro,16,EnVyUs,14,mrg,160,83,win
EnVyUs,16,Virtus.pro,5,cbl,83,160,win
Astralis,19,fnatic,15,trn,971,604,win
fnatic,8,Astralis,16,d2,604,971,loss
Virtus.pro,2,G2,16,trn,160,242,loss
G2,16,Virtus.pro,7,ovp,242,160,win
GODSENT,11,Virtus.pro,16,mrg,115,160,loss
Virtus.pro,5,GODSENT,16,ovp,160,115,loss
fnatic,3,Dignitas,16,ovp,604,115,loss
EnVyUs,12,Dignitas,16,cbl,83,115,loss
fnatic,19,OpTic,17,cch,604,115,win
Heroic,12,Cloud9,16,mrg,105,430,loss
SK,16,NiP,9,cbl,331,328,win
mousesports,7,FaZe,16,trn,639,839,loss
FaZe,16,SK,11,nuke,839,331,win
Cloud9,16,mousesports,10,cbl,430,639,win
Heroic,8,NiP,16,nuke,105,328,loss
Cloud9,10,SK,16,d2,430,331,loss
Heroic,16,mousesports,11,cbl,105,639,win
FaZe,16,NiP,5,ovp,839,328,win
Cloud9,14,NiP,16,trn,430,328,loss
mousesports,10,SK,16,d2,639,331,loss
Heroic,3,FaZe,16,trn,105,839,loss
mousesports,8,NiP,16,ovp,639,328,loss
Heroic,16,SK,13,cbl,105,331,win
Cloud9,17,FaZe,19,mrg,430,839,loss
Liquid,17,G2,19,nuke,321,242,loss
Natus Vincere,15,Immortals,19,mrg,620,242,loss
Astralis,16,TyLoo,9,mrg,971,210,win
Immortals,15,Astralis,19,d2,971,971,loss
TyLoo,6,Liquid,16,mrg,210,321,loss
Natus Vincere,16,G2,10,ovp,620,242,win
Immortals,16,Liquid,14,cch,620,321,win
Natus Vincere,9,Astralis,16,trn,620,971,loss
TyLoo,3,G2,16,ovp,210,242,loss
Astralis,16,Liquid,1,trn,971,321,win
Immortals,16,G2,4,cbl,971,242,win
Natus Vincere,16,TyLoo,14,ovp,620,210,win
Astralis,12,G2,16,nuke,971,242,loss
Immortals,19,TyLoo,17,mrg,971,210,win
Natus Vincere,6,Liquid,16,nuke,620,321,loss
GODSENT,16,fnatic,11,trn,115,604,win
fnatic,6,GODSENT,16,trn,604,115,loss
OpTic,4,Cloud9,16,trn,604,430,loss
Cloud9,16,OpTic,11,trn,430,430,win
Virtus.pro,16,mousesports,8,cbl,160,639,win
mousesports,9,Virtus.pro,16,mrg,639,160,loss
Cloud9,16,TyLoo,0,d2,430,210,win
Immortals,19,FaZe,17,cch,430,839,win
Cloud9,16,FlipSid3,4,ovp,430,839,win
SK,13,Astralis,16,ovp,331,971,loss
Natus Vincere,10,SK,16,trn,620,331,loss
EnVyUs,16,OpTic,8,nuke,83,331,win
EnVyUs,16,G2,9,nuke,83,242,win
Dignitas,16,GODSENT,7,mrg,83,115,win
GODSENT,9,Dignitas,16,cbl,115,115,loss
GODSENT,16,mousesports,11,mrg,115,639,win
mousesports,16,GODSENT,11,d2,639,115,win
mousesports,11,FaZe,16,d2,639,839,loss
FaZe,14,mousesports,16,ovp,839,639,loss
G2,16,EnVyUs,9,cch,242,83,win
Virtus.pro,16,NiP,12,cbl,160,328,win
NiP,16,Virtus.pro,14,ovp,328,160,win
GODSENT,20,NiP,22,d2,115,328,loss
NiP,16,GODSENT,5,cbl,328,115,win
Dignitas,9,NiP,16,cbl,328,328,loss
NiP,13,Dignitas,16,d2,328,328,loss
FaZe,7,fnatic,16,mrg,839,604,loss
fnatic,16,FaZe,13,trn,604,839,win
Dignitas,17,fnatic,19,ovp,604,604,loss
fnatic,19,Dignitas,16,d2,604,604,win
FaZe,16,Astralis,9,mrg,839,971,win
Astralis,16,FaZe,13,ovp,971,839,win
SK,16,Cloud9,7,trn,331,430,win
Cloud9,11,SK,16,trn,430,331,loss
SK,16,OpTic,8,trn,331,331,win
OpTic,16,SK,13,cbl,331,331,win
EnVyUs,11,FaZe,16,cch,83,839,loss
FaZe,7,EnVyUs,16,mrg,839,83,loss
