Team,Team Score,Opponent,Opponent Score,Map,Map WinRate,Team Ranking (points),Opponent Ranking (points)
NiP,16,OpTic,11,trn,68.3,352,156
Natus Vincere,11,mousesports,16,inf,53.9,558,341
BIG,16,FaZe,9,cch,54.8,221,451
OpTic,17,NiP,19,mrg,58.7,156,352
Astralis,16,HellRaisers,10,ovp,66.7,1000,129
HellRaisers,7,Astralis,16,trn,49,129,1000
G2,16,NiP,5,inf,51.2,67,352
NiP,2,G2,16,ovp,57,352,67
Liquid,15,NRG,19,mrg,56.7,455,306
NRG,14,Liquid,16,inf,66,306,455
Natus Vincere,16,NiP,11,inf,53.9,558,352
Astralis,16,G2,2,mrg,69.7,1000,67
NiP,13,Natus Vincere,16,mrg,55.7,352,558
G2,11,Astralis,16,inf,51.2,67,1000
NiP,16,Astralis,7,trn,68.3,352,1000
Astralis,16,NiP,4,ovp,66.7,1000,352
North,16,NiP,8,nuke,58.3,280,352
NiP,7,North,16,mrg,55.7,352,280
BIG,19,mousesports,17,trn,53.8,221,341
TYLOO,10,BIG,16,cch,74.4,88,221
G2,14,mousesports,16,inf,51.2,67,341
mousesports,16,G2,4,nuke,57,341,67
North,16,Gambit,13,trn,59.6,280,60
mousesports,12,ENCE,16,mrg,61.8,341,149
BIG,16,compLexity,8,cch,54.8,221,123
North,12,NRG,16,inf,57.6,280,306
HellRaisers,11,TYLOO,16,ovp,55.9,129,88
Gambit,16,compLexity,14,d2,undefined,60,123
G2,8,North,16,nuke,62.1,67,280
North,16,G2,4,inf,57.6,280,67
Vega Squadron,17,NRG,19,inf,47.6,101,306
ENCE,16,TYLOO,6,inf,45.1,149,88
Liquid,16,MIBR,14,cch,66.9,455,424
MIBR,16,Liquid,10,inf,70,424,455
North,4,Astralis,16,inf,57.6,280,1000
Astralis,16,North,3,d2,undefined,1000,280
G2,16,Heroic,6,inf,51.2,67,117
Astralis,16,mousesports,11,inf,71.9,1000,341
Heroic,12,G2,16,d2,undefined,117,67
mousesports,13,Astralis,16,trn,54.4,341,1000
G2,14,FaZe,16,ovp,50.5,67,451
FaZe,9,G2,16,inf,62.3,451,67
FaZe,4,Astralis,16,d2,undefined,451,1000
G2,8,mousesports,16,inf,51.2,67,341
Astralis,16,FaZe,7,mrg,69.7,1000,451
mousesports,16,G2,5,nuke,57,341,67
compLexity,16,NRG,12,cch,50,123,306
NRG,16,compLexity,13,nuke,59.5,306,123
Astralis,13,BIG,16,inf,71.9,1000,221
BIG,9,Astralis,16,trn,53.8,221,1000
HellRaisers,16,North,14,ovp,55.9,129,280
Heroic,10,fnatic,16,d2,undefined,117,183
NiP,13,Astralis,16,trn,68.3,352,1000
North,19,HellRaisers,15,trn,59.6,280,129
fnatic,13,Heroic,16,mrg,61.4,183,117
Astralis,16,NiP,8,nuke,75.7,1000,352
mousesports,16,HellRaisers,4,mrg,61.8,341,129
HellRaisers,9,mousesports,16,inf,54.8,129,341
North,13,BIG,16,ovp,57.8,280,221
NiP,11,Heroic,16,nuke,77.2,352,117
BIG,20,North,22,trn,53.8,221,280
Heroic,16,NiP,13,mrg,55,117,352
Heroic,10,North,16,d2,undefined,117,280
North,16,Heroic,6,trn,59.6,280,117
HellRaisers,2,BIG,16,d2,undefined,129,221
BIG,10,HellRaisers,16,cch,54.8,221,129
Astralis,16,MIBR,7,d2,undefined,1000,424
NiP,11,Astralis,16,nuke,77.2,352,1000
NiP,15,MIBR,15,mrg,55.7,352,424
Kinguin,6,Heroic,16,d2,undefined,65,117
Astralis,16,MIBR,0,d2,undefined,1000,424
Natus Vincere,16,fnatic,9,mrg,63,558,183
TYLOO,4,FaZe,16,mrg,75.4,88,451
Vega Squadron,11,NiP,16,trn,59,101,352
BIG,16,HellRaisers,9,trn,53.8,221,129
FaZe,16,mousesports,8,mrg,62.8,451,341
