Team,Team Score,Opponent,Opponent Score,Map,Map WinRate,Team Ranking (points),Opponent Ranking (points)
Astralis,15,North,15,ovp,66.7,1000,280
G2,8,FaZe,16,mrg,47.3,67,451
NiP,4,SK,16,trn,68.3,352,451
FaZe,13,North,16,trn,57.5,451,280
Astralis,16,NiP,5,ovp,66.7,1000,352
SK,16,G2,8,cbl,,1000,67
North,15,G2,15,mrg,60,280,67
FaZe,15,NiP,15,trn,57.5,451,352
Astralis,16,SK,3,inf,71.9,1000,352
Envy,15,Virtus.pro,15,trn,,1000,352
BIG,12,Space Soldiers,16,cch,54.8,221,352
Envy,11,mousesports,16,nuke,,221,341
mousesports,16,Envy,1,cbl,51.1,341,341
Heroic,16,Envy,11,inf,44,117,341
Virtus.pro,16,FaZe,7,cbl,,117,451
FaZe,16,Virtus.pro,8,trn,57.5,451,451
Envy,9,Heroic,16,nuke,,451,117
Liquid,11,Cloud9,16,cch,66.9,455,84
Cloud9,19,Liquid,15,mrg,62.4,84,455
NiP,16,Astralis,14,nuke,77.2,352,1000
Astralis,14,NiP,16,trn,63.6,1000,352
Cloud9,12,Renegades,16,trn,67.6,84,109
Renegades,12,Cloud9,16,cbl,56.9,109,84
Virtus.pro,14,fnatic,16,cch,,109,183
fnatic,16,Virtus.pro,4,mrg,61.4,183,183
Virtus.pro,17,NiP,19,cbl,,183,352
NiP,16,Virtus.pro,9,cch,60.1,352,352
G2,14,OpTic,16,ovp,50.5,67,156
Renegades,9,Gambit,16,inf,58.6,109,60
Liquid,5,FaZe,16,inf,63.6,455,451
G2,16,Liquid,9,cch,56.2,67,455
OpTic,6,Renegades,16,mrg,58.7,156,109
OpTic,16,Liquid,10,mrg,58.7,156,455
FaZe,3,Gambit,16,mrg,62.8,451,60
Envy,11,NiP,16,nuke,,451,352
Cloud9,16,SK,7,trn,67.6,84,352
Envy,16,Cloud9,8,cbl,,84,84
SK,21,Astralis,25,ovp,,84,1000
mousesports,16,Virtus.pro,5,cbl,51.1,341,1000
NiP,16,Cloud9,4,ovp,57,352,84
Virtus.pro,11,mousesports,16,trn,,352,341
G2,22,Gambit,19,ovp,50.5,67,60
FaZe,16,Renegades,13,trn,57.5,451,109
Liquid,19,Gambit,16,mrg,56.7,455,60
G2,9,Renegades,16,cbl,55.7,67,109
Liquid,19,Renegades,17,cch,66.9,455,109
OpTic,3,FaZe,16,ovp,59.3,156,451
G2,14,FaZe,16,ovp,50.5,67,451
OpTic,16,Gambit,7,trn,52.1,156,60
Envy,11,Astralis,16,inf,,156,1000
Cloud9,16,Astralis,6,trn,67.6,84,1000
NiP,13,SK,16,cbl,57.8,352,1000
Envy,20,SK,22,cbl,,352,1000
NiP,16,Astralis,11,ovp,57,352,1000
Virtus.pro,4,Heroic,16,inf,,352,117
Heroic,16,Virtus.pro,14,nuke,66.3,117,117
Renegades,16,Cloud9,14,mrg,52.4,109,84
Renegades,12,Liquid,16,trn,52.9,109,455
Liquid,4,Renegades,16,cbl,64,455,109
Natus Vincere,22,FaZe,19,nuke,46.6,558,451
fnatic,16,G2,11,inf,67.2,183,67
Envy,16,NiP,12,cbl,,183,352
Astralis,12,mousesports,16,inf,71.9,1000,341
BIG,9,North,16,ovp,53.5,221,280
NiP,19,Envy,15,trn,68.3,352,280
mousesports,5,Astralis,16,nuke,57,341,1000
FaZe,16,Natus Vincere,6,ovp,61.2,451,558
North,16,BIG,8,cbl,60.9,280,221
G2,9,fnatic,16,cbl,55.7,67,183
G2,12,FaZe,16,cch,56.2,67,451
FaZe,16,G2,14,mrg,62.8,451,67
Renegades,16,CLG,3,cbl,56.9,109,67
CLG,12,Renegades,16,mrg,,109,109
Heroic,8,mousesports,16,nuke,66.3,117,341
mousesports,16,Heroic,13,mrg,61.8,341,117
Natus Vincere,16,BIG,12,ovp,64.3,558,221
Gambit,12,Virtus.pro,16,cch,52.5,60,221
BIG,11,Natus Vincere,16,trn,53.8,221,558
Heroic,11,North,16,trn,49.6,117,280
Envy,9,Astralis,16,nuke,,117,1000
North,12,Heroic,16,ovp,57.8,280,117
Astralis,6,Envy,16,trn,63.6,1000,117
Heroic,9,NiP,16,nuke,66.3,117,352
Gambit,16,Space Soldiers,13,mrg,52.5,60,352
Astralis,13,FaZe,16,inf,71.9,1000,451
NiP,25,Heroic,21,ovp,57,352,117
FaZe,10,Astralis,16,mrg,62.8,451,1000
fnatic,14,mousesports,16,inf,67.2,183,341
mousesports,14,fnatic,16,mrg,61.8,341,183
Astralis,19,Natus Vincere,15,inf,71.9,1000,558
fnatic,16,FaZe,12,cch,62.6,183,451
FaZe,7,fnatic,16,mrg,62.8,451,183
Natus Vincere,4,Astralis,16,nuke,46.6,558,1000
G2,16,Astralis,11,nuke,62.1,67,1000
Astralis,12,G2,16,ovp,66.7,1000,67
Cloud9,13,Liquid,16,mrg,62.4,84,455
Liquid,2,Cloud9,16,cbl,64,455,84
Heroic,6,Astralis,16,inf,44,117,1000
Astralis,16,Heroic,3,trn,63.6,1000,117
BIG,13,Envy,16,cch,54.8,221,117
Envy,16,BIG,4,trn,,221,221
NiP,16,G2,5,ovp,57,352,67
G2,8,NiP,16,cbl,55.7,67,352
mousesports,25,Astralis,22,mrg,61.8,341,1000
Astralis,16,mousesports,14,inf,71.9,1000,341
G2,16,fnatic,13,cbl,55.7,67,183
fnatic,16,G2,12,inf,67.2,183,67
Cloud9,16,SK,2,mrg,62.4,84,67
SK,14,Cloud9,16,cbl,,84,84
Astralis,16,fnatic,10,mrg,69.7,1000,183
fnatic,16,Astralis,8,trn,58,183,1000
mousesports,9,G2,16,inf,49.1,341,67
G2,14,mousesports,16,cbl,55.7,67,341
fnatic,13,FaZe,16,trn,58,183,451
FaZe,14,fnatic,16,mrg,62.8,451,183
Envy,8,NiP,16,trn,,451,352
NiP,11,Envy,16,cch,60.1,352,352
NiP,16,mousesports,13,cch,60.1,352,341
mousesports,16,NiP,8,mrg,61.8,341,352
Cloud9,16,CLG,14,inf,53.4,84,352
CLG,8,Cloud9,16,cbl,,84,84
Envy,4,G2,16,cch,,84,67
G2,16,Envy,2,cbl,55.7,67,67
fnatic,16,NiP,9,mrg,61.4,183,352
NiP,14,fnatic,16,ovp,57,352,183
FaZe,7,Envy,16,trn,57.5,451,183
Envy,16,FaZe,19,cch,,451,451
SK,15,Liquid,19,trn,,451,455
Liquid,16,SK,4,inf,63.6,455,455
mousesports,4,FaZe,16,cch,60.5,341,451
FaZe,12,mousesports,16,inf,62.3,451,341
fnatic,16,Envy,11,inf,67.2,183,341
Envy,5,fnatic,16,trn,,183,183
Heroic,13,G2,16,inf,44,117,67
G2,16,Heroic,8,nuke,62.1,67,117
NiP,12,FaZe,16,trn,68.3,352,451
FaZe,16,NiP,8,mrg,62.8,451,352
Virtus.pro,7,Astralis,16,trn,,451,1000
Astralis,16,Virtus.pro,8,mrg,69.7,1000,1000
Liquid,16,Renegades,14,cbl,64,455,109
mousesports,10,BIG,16,trn,54.4,341,221
Cloud9,16,Renegades,1,trn,67.6,84,109
CLG,14,Renegades,16,cbl,,84,109
fnatic,16,Heroic,14,mrg,61.4,183,117
Heroic,4,fnatic,16,trn,49.6,117,183
Envy,14,Astralis,16,inf,,117,1000
Astralis,16,Envy,11,trn,63.6,1000,1000
Envy,10,Heroic,16,inf,,1000,117
Heroic,9,Envy,16,nuke,66.3,117,117
Astralis,10,HellRaisers,16,ovp,66.7,1000,129
HellRaisers,10,Astralis,16,mrg,49.5,129,1000
Renegades,16,Cloud9,11,cbl,56.9,109,84
Cloud9,16,Renegades,7,mrg,62.4,84,109
North,17,Natus Vincere,19,nuke,58.3,280,558
BIG,12,G2,16,ovp,53.5,221,67
G2,14,BIG,16,cbl,55.7,67,221
Natus Vincere,8,North,16,ovp,64.3,558,280
North,19,fnatic,16,cbl,60.9,280,183
Heroic,14,G2,16,nuke,66.3,117,67
fnatic,17,North,19,mrg,61.4,183,280
G2,16,Heroic,10,inf,51.2,67,117
BIG,7,NiP,16,cch,54.8,221,352
NiP,16,BIG,4,mrg,55.7,352,221
Renegades,16,SK,14,cch,61.9,109,221
SK,16,Renegades,14,cbl,,109,109
CLG,10,Liquid,16,mrg,,109,455
Liquid,16,CLG,14,inf,63.6,455,455
Virtus.pro,10,G2,16,cch,,455,67
G2,8,Virtus.pro,16,inf,51.2,67,67
CLG,11,SK,16,inf,,67,67
SK,16,CLG,11,mrg,,67,67
Envy,16,Heroic,8,nuke,,67,117
NiP,10,Heroic,16,inf,60.3,352,117
HellRaisers,14,Space Soldiers,16,cbl,56.2,129,117
mousesports,16,Envy,10,cbl,51.1,341,117
Heroic,4,NiP,16,inf,44,117,352
Envy,16,mousesports,11,cch,,117,341
NiP,16,Heroic,14,ovp,57,352,117
FaZe,12,Heroic,16,ovp,61.2,451,117
Heroic,4,FaZe,16,inf,44,117,451
Renegades,13,SK,16,cbl,56.9,109,451
SK,16,Renegades,7,mrg,,109,109
Astralis,8,fnatic,16,trn,63.6,1000,183
fnatic,16,Astralis,4,mrg,61.4,183,1000
Natus Vincere,11,mousesports,16,inf,53.9,558,341
Virtus.pro,4,Envy,16,inf,,558,341
mousesports,16,Natus Vincere,12,cbl,51.1,341,558
Envy,14,Virtus.pro,16,nuke,,341,558
Astralis,19,FaZe,15,ovp,66.7,1000,451
mousesports,13,Heroic,16,mrg,61.8,341,117
FaZe,16,Astralis,14,mrg,62.8,451,1000
Heroic,12,mousesports,16,nuke,66.3,117,341
HellRaisers,17,fnatic,19,inf,54.8,129,183
Natus Vincere,14,G2,16,nuke,46.6,558,67
Heroic,4,FaZe,16,inf,44,117,451
G2,19,Natus Vincere,16,ovp,50.5,67,558
fnatic,10,HellRaisers,16,mrg,61.4,183,129
FaZe,16,Heroic,7,ovp,61.2,451,117
mousesports,6,NiP,16,nuke,57,341,352
NiP,2,mousesports,16,inf,60.3,352,341
HellRaisers,16,FaZe,12,cch,60,129,451
Astralis,16,North,10,inf,71.9,1000,280
North,10,Astralis,16,mrg,60,280,1000
FaZe,10,HellRaisers,16,inf,62.3,451,129
Cloud9,9,SK,16,mrg,62.4,84,129
SK,16,Cloud9,11,cbl,,84,84
North,4,FaZe,16,inf,57.6,280,451
FaZe,12,North,16,mrg,62.8,451,280
BIG,6,Astralis,16,inf,56.2,221,1000
Astralis,16,BIG,19,ovp,66.7,1000,221
BIG,7,mousesports,16,trn,53.8,221,341
NiP,16,fnatic,4,cch,60.1,352,183
mousesports,22,BIG,20,cbl,51.1,341,221
fnatic,17,NiP,19,mrg,61.4,183,352
Envy,16,G2,13,inf,,183,67
G2,9,Envy,16,cbl,55.7,67,67
Astralis,16,Heroic,2,trn,63.6,1000,117
SK,5,Heroic,16,trn,,1000,117
Astralis,16,Liquid,11,ovp,66.7,1000,455
FaZe,16,NiP,7,mrg,62.8,451,352
NiP,16,FaZe,6,cbl,57.8,352,451
NiP,16,G2,13,ovp,57,352,67
G2,14,NiP,16,nuke,62.1,67,352
Envy,16,Natus Vincere,14,cbl,,67,558
fnatic,16,mousesports,10,cch,62.6,183,341
Natus Vincere,16,Envy,5,trn,65,558,341
mousesports,1,fnatic,16,trn,54.4,341,183
SK,16,CLG,7,ovp,,341,183
CLG,16,SK,3,cch,,341,183
Heroic,16,fnatic,19,inf,44,117,183
mousesports,14,North,16,mrg,61.8,341,280
fnatic,16,Heroic,13,mrg,61.4,183,117
North,16,mousesports,12,cbl,60.9,280,341
Natus Vincere,13,HellRaisers,16,inf,53.9,558,129
HellRaisers,16,Natus Vincere,5,ovp,55.9,129,558
Envy,2,Cloud9,16,trn,,129,84
Cloud9,16,NiP,6,mrg,62.4,84,352
Virtus.pro,6,Envy,16,cbl,,84,352
Immortals,20,North,22,cbl,,84,280
North,16,fnatic,14,mrg,60,280,183
mousesports,8,Immortals,16,cbl,51.1,341,183
FaZe,16,Astralis,6,inf,62.3,451,1000
SK,16,Cloud9,5,trn,,451,84
Cloud9,16,Natus Vincere,13,inf,53.4,84,558
Astralis,16,Liquid,13,mrg,69.7,1000,455
SK,16,Envy,12,cbl,,1000,455
FaZe,16,Virtus.pro,5,cch,54.6,451,455
Heroic,1,BIG,16,ovp,53.9,117,221
BIG,19,Heroic,15,trn,53.8,221,117
FaZe,16,Natus Vincere,6,inf,62.3,451,558
Cloud9,13,Immortals,16,cch,61.6,84,558
G2,10,Natus Vincere,16,inf,51.2,67,558
FaZe,16,Renegades,9,mrg,62.8,451,109
Gambit,12,SK,16,ovp,58.1,60,109
fnatic,16,Envy,9,cch,62.6,183,109
Envy,10,fnatic,16,cbl,,183,183
SK,19,mousesports,15,inf,,183,341
NiP,16,HellRaisers,6,trn,68.3,352,129
Gambit,16,Heroic,7,mrg,52.5,60,117
HellRaisers,5,NiP,16,inf,54.8,129,352
Liquid,10,Virtus.pro,16,mrg,56.7,455,352
Virtus.pro,16,Envy,6,trn,,455,352
Liquid,16,BIG,14,ovp,56,455,221
Cloud9,16,Immortals,3,trn,67.6,84,221
Immortals,16,Cloud9,5,inf,,84,84
North,16,HellRaisers,9,cbl,60.9,280,129
HellRaisers,16,North,9,ovp,55.9,129,280
NiP,14,Astralis,16,nuke,77.2,352,1000
Astralis,16,NiP,6,inf,71.9,1000,352
mousesports,16,HellRaisers,4,mrg,61.8,341,129
Heroic,16,Envy,9,inf,44,117,129
mousesports,9,FaZe,16,mrg,61.8,341,451
fnatic,16,Envy,13,cbl,65.2,183,451
G2,16,Envy,13,inf,51.2,67,451
FaZe,8,NiP,16,nuke,62.8,451,352
Gambit,16,mousesports,6,trn,51.8,60,341
Immortals,16,fnatic,14,cbl,,60,183
Cloud9,10,North,16,inf,53.4,84,280
Virtus.pro,4,Natus Vincere,16,inf,,84,558
NiP,16,Natus Vincere,13,mrg,55.7,352,558
Natus Vincere,16,NiP,9,trn,65,558,352
mousesports,25,G2,22,cch,60.5,341,67
G2,16,mousesports,7,cbl,55.7,67,341
NiP,12,North,16,inf,60.3,352,280
North,16,NiP,5,nuke,58.3,280,352
fnatic,5,Natus Vincere,16,mrg,61.4,183,558
Natus Vincere,9,fnatic,16,ovp,64.3,558,183
Heroic,16,Natus Vincere,14,inf,44,117,558
Envy,13,North,16,cbl,,117,280
Natus Vincere,10,Heroic,16,ovp,64.3,558,117
North,16,Envy,6,nuke,58.3,280,117
FaZe,16,Envy,7,nuke,62.8,451,117
Envy,12,FaZe,16,trn,,451,451
PENTA,5,FlipSid3,16,trn,,451,451
SK,16,Immortals,12,trn,,451,451
Immortals,16,SK,8,cbl,,451,451
FaZe,10,BIG,16,trn,57.5,451,221
Heroic,12,Astralis,16,inf,44,117,1000
BIG,8,FaZe,16,ovp,53.5,221,451
Astralis,16,Heroic,6,ovp,66.7,1000,117
HellRaisers,16,Envy,19,cch,60,129,117
North,16,G2,7,cbl,60.9,280,67
Envy,16,HellRaisers,14,cbl,,280,129
G2,16,North,9,nuke,62.1,67,280
FaZe,16,mousesports,14,mrg,62.8,451,341
mousesports,16,FaZe,9,cch,60.5,341,451
HellRaisers,11,BIG,16,cbl,56.2,129,221
Astralis,6,G2,16,inf,71.9,1000,67
G2,16,Astralis,9,ovp,50.5,67,1000
BIG,7,HellRaisers,16,cch,54.8,221,129
Liquid,3,SK,16,cbl,64,455,129
SK,12,Liquid,16,trn,,455,455
fnatic,16,BIG,11,cbl,65.2,183,221
BIG,9,fnatic,16,trn,53.8,221,183
Heroic,16,HellRaisers,14,ovp,53.9,117,129
FaZe,16,G2,12,ovp,61.2,451,67
HellRaisers,8,Heroic,16,mrg,49.5,129,117
G2,3,FaZe,16,cch,56.2,67,451
Envy,11,HellRaisers,16,cbl,,67,129
Envy,9,Heroic,16,inf,,67,117
Virtus.pro,16,Cloud9,10,trn,,67,84
fnatic,16,G2,10,ovp,54.8,183,67
SK,16,Immortals,9,ovp,,183,67
North,16,Virtus.pro,14,mrg,60,280,67
G2,6,Astralis,16,inf,51.2,67,1000
Natus Vincere,12,fnatic,16,mrg,63,558,183
mousesports,11,Cloud9,16,trn,54.4,341,84
SK,14,BIG,16,inf,,341,221
Gambit,16,Virtus.pro,11,trn,51.8,60,221
fnatic,14,Astralis,16,nuke,74.1,183,1000
G2,19,Cloud9,17,cbl,55.7,67,84
Natus Vincere,10,Immortals,16,ovp,64.3,558,84
mousesports,15,North,19,cbl,51.1,341,280
Virtus.pro,16,fnatic,11,cch,,341,183
SK,16,Astralis,8,inf,,341,1000
Gambit,16,G2,6,cch,52.5,60,67
BIG,16,Cloud9,11,inf,56.2,221,84
mousesports,19,FaZe,15,trn,54.4,341,451
Astralis,19,Immortals,17,ovp,66.7,1000,451
Natus Vincere,14,G2,16,ovp,64.3,558,67
North,12,Cloud9,16,mrg,60,280,84
FaZe,8,BIG,16,inf,62.3,451,221
SK,16,PENTA,13,inf,,451,221
Gambit,16,mousesports,10,inf,54,60,341
CLG,10,NiP,16,ovp,,60,352
North,7,FaZe,16,inf,57.6,280,451
Cloud9,22,mousesports,20,inf,53.4,84,341
fnatic,6,SK,16,mrg,61.4,183,341
FaZe,10,OpTic,16,trn,57.5,451,156
SK,11,G2,16,inf,,451,67
Natus Vincere,16,mousesports,4,mrg,63,558,341
Cloud9,16,Immortals,11,trn,67.6,84,341
Liquid,16,OpTic,5,cbl,64,455,156
NiP,16,mousesports,10,cch,60.1,352,341
fnatic,12,FaZe,16,ovp,54.8,183,451
Immortals,7,G2,16,cbl,,183,67
North,10,SK,16,cch,52.4,280,67
G2,6,NiP,16,cch,56.2,67,352
Immortals,15,Liquid,19,trn,,67,455
mousesports,16,FaZe,12,nuke,57,341,451
Cloud9,32,Natus Vincere,34,trn,67.6,84,558
SK,16,Virtus.pro,9,mrg,,84,558
Natus Vincere,7,Liquid,16,inf,53.9,558,455
North,9,OpTic,16,cbl,60.9,280,156
NiP,16,Cloud9,12,cch,60.1,352,84
Immortals,16,Virtus.pro,12,cbl,,352,84
mousesports,16,fnatic,11,trn,54.4,341,183
HellRaisers,13,Immortals,16,ovp,55.9,129,183
BIG,16,Liquid,10,trn,53.8,221,455
Liquid,16,HellRaisers,2,trn,56.1,455,129
PENTA,14,mousesports,16,cbl,,455,341
BIG,16,Immortals,9,cch,54.8,221,341
G2,16,Cloud9,11,cch,56.2,67,84
Liquid,3,PENTA,16,mrg,56.7,455,84
BIG,10,Cloud9,16,cbl,57.9,221,84
OpTic,14,PENTA,16,trn,52.1,156,84
G2,22,Immortals,20,inf,51.2,67,84
Cloud9,19,Astralis,15,mrg,62.4,84,1000
Liquid,11,Astralis,16,inf,63.6,455,1000
Cloud9,16,fnatic,8,trn,67.6,84,183
FaZe,8,SK,16,trn,57.5,451,183
G2,7,SK,16,cch,56.2,67,183
FaZe,16,OpTic,9,ovp,61.2,451,156
CLG,31,fnatic,28,trn,,451,183
SK,10,Immortals,16,cch,,451,183
fnatic,16,Cloud9,12,mrg,61.4,183,84
mousesports,6,Immortals,16,cbl,51.1,341,84
Gambit,16,CLG,19,ovp,58.1,60,84
Cloud9,16,CLG,12,mrg,62.4,84,84
Virtus.pro,14,G2,16,trn,,84,67
G2,16,Virtus.pro,10,ovp,50.5,67,67
mousesports,6,FaZe,16,cch,60.5,341,451
FaZe,11,mousesports,16,mrg,62.8,451,341
NiP,16,G2,11,trn,68.3,352,67
G2,16,NiP,12,cch,56.2,67,352
Renegades,13,CLG,16,cbl,56.9,109,352
CLG,16,Renegades,13,cch,,109,109
Liquid,16,North,10,cbl,64,455,280
OpTic,16,Natus Vincere,8,cbl,55.2,156,558
mousesports,16,Liquid,12,inf,49.1,341,455
North,16,OpTic,14,mrg,60,280,156
mousesports,16,OpTic,12,cbl,51.1,341,156
fnatic,11,G2,16,ovp,54.8,183,67
Immortals,16,Cloud9,8,mrg,,183,84
G2,16,SK,6,cbl,55.7,67,84
G2,10,Immortals,16,ovp,50.5,67,84
fnatic,16,Cloud9,6,nuke,74.1,183,84
North,16,Natus Vincere,13,mrg,60,280,558
Liquid,16,OpTic,5,nuke,39.2,455,156
mousesports,19,Natus Vincere,15,cbl,51.1,341,558
mousesports,17,North,19,nuke,57,341,280
Liquid,4,Natus Vincere,16,trn,56.1,455,558
fnatic,3,SK,16,cch,62.6,183,558
SK,16,Immortals,5,mrg,,183,558
G2,4,Cloud9,16,inf,51.2,67,84
SK,16,Cloud9,7,cbl,,67,84
Immortals,9,SK,16,cbl,,67,84
SK,16,Immortals,19,ovp,,67,84
Cloud9,13,Liquid,16,mrg,62.4,84,455
Liquid,10,Cloud9,16,trn,56.1,455,84
Virtus.pro,2,NiP,16,trn,,455,352
NiP,16,Virtus.pro,11,nuke,77.2,352,352
FaZe,16,Astralis,10,nuke,62.8,451,1000
Astralis,16,FaZe,1,trn,63.6,1000,451
Immortals,16,CLG,13,mrg,,1000,451
CLG,4,Immortals,16,cbl,,1000,451
Cloud9,8,SK,16,cbl,64.4,84,451
SK,9,Cloud9,16,cch,,84,84
FaZe,16,fnatic,11,trn,57.5,451,183
fnatic,19,FaZe,17,mrg,61.4,183,451
Liquid,10,SK,16,cbl,64,455,451
SK,16,Liquid,12,mrg,,455,455
fnatic,14,G2,16,trn,58,183,67
G2,16,fnatic,8,cbl,55.7,67,183
mousesports,7,Astralis,16,mrg,61.8,341,1000
Astralis,20,mousesports,22,nuke,75.7,1000,341
mousesports,17,fnatic,19,nuke,57,341,183
fnatic,16,mousesports,10,trn,58,183,341
CLG,15,SK,19,cch,,183,341
SK,16,CLG,10,ovp,,183,341
Astralis,8,fnatic,16,inf,71.9,1000,183
fnatic,1,Astralis,16,trn,58,183,1000
OpTic,17,Immortals,19,mrg,58.7,156,1000
Immortals,10,OpTic,16,cbl,,156,156
FaZe,16,G2,14,ovp,61.2,451,67
G2,5,FaZe,16,nuke,62.1,67,451
OpTic,5,Cloud9,16,cbl,55.2,156,84
Cloud9,4,OpTic,16,trn,67.6,84,156
Misfits,16,CLG,13,cch,,84,156
SK,12,CLG,16,mrg,,84,156
Misfits,13,Immortals,16,cch,,84,156
CLG,16,SK,12,trn,,84,156
Natus Vincere,25,Heroic,22,cbl,53.6,558,117
FaZe,14,G2,16,cch,54.6,451,67
NiP,16,HellRaisers,5,cch,60.1,352,129
fnatic,16,mousesports,6,mrg,61.4,183,341
Virtus.pro,7,North,16,cch,,183,280
Heroic,16,Natus Vincere,14,ovp,53.9,117,558
HellRaisers,14,NiP,16,trn,49,129,352
mousesports,10,fnatic,16,cch,60.5,341,183
North,16,Virtus.pro,6,inf,57.6,280,183
G2,16,FaZe,4,inf,51.2,67,451
Cloud9,11,Liquid,16,inf,53.4,84,455
Liquid,16,Cloud9,5,trn,56.1,455,84
CLG,14,Cloud9,16,cch,,455,84
Cloud9,16,CLG,13,mrg,62.4,84,84
mousesports,16,G2,13,trn,54.4,341,67
G2,16,mousesports,11,cbl,55.7,67,341
Virtus.pro,9,fnatic,16,mrg,,67,183
FaZe,19,HellRaisers,15,cch,54.6,451,129
fnatic,19,Virtus.pro,15,inf,67.2,183,129
HellRaisers,16,FaZe,14,trn,49,129,451
CLG,15,OpTic,19,mrg,,129,156
Natus Vincere,3,mousesports,16,mrg,63,558,341
Heroic,10,mousesports,16,cbl,53.4,117,341
Immortals,12,Liquid,16,cbl,,117,455
Liquid,16,Immortals,13,cbl,64,455,455
Virtus.pro,11,mousesports,16,ovp,,455,341
mousesports,18,Virtus.pro,22,trn,54.4,341,341
FaZe,16,OpTic,6,trn,57.5,451,156
SK,16,Astralis,12,inf,,451,1000
North,16,FaZe,19,cch,52.4,280,451
CLG,16,Liquid,4,cch,,280,455
Liquid,16,CLG,12,cbl,64,455,455
NiP,16,fnatic,14,cbl,57.8,352,183
fnatic,16,NiP,13,inf,67.2,183,352
mousesports,11,NiP,16,cbl,51.1,341,352
NiP,11,mousesports,16,cch,60.1,352,341
FaZe,7,Astralis,16,cbl,34.8,451,1000
SK,16,North,14,cbl,,451,280
North,25,OpTic,23,inf,57.6,280,156
GODSENT,10,mousesports,16,cch,,280,341
mousesports,11,GODSENT,16,mrg,61.8,341,341
Immortals,16,Cloud9,7,inf,,341,84
HellRaisers,7,Gambit,16,nuke,50.9,129,60
G2,10,Cloud9,16,cch,56.2,67,84
Gambit,25,Heroic,23,trn,51.8,60,117
Immortals,16,Liquid,11,inf,,60,455
mousesports,16,Natus Vincere,0,mrg,61.8,341,558
Natus Vincere,8,mousesports,16,nuke,46.6,558,341
Liquid,9,Immortals,16,inf,63.6,455,341
Immortals,3,Liquid,16,cbl,,455,455
fnatic,16,Astralis,14,trn,58,183,1000
NiP,3,North,16,cbl,57.8,352,280
Astralis,16,fnatic,6,inf,71.9,1000,183
North,16,NiP,1,cch,52.4,280,352
G2,10,Virtus.pro,16,inf,51.2,67,352
FaZe,16,NiP,1,inf,62.3,451,352
Virtus.pro,13,G2,16,nuke,,451,67
NiP,13,FaZe,16,nuke,77.2,352,451
FaZe,16,Virtus.pro,4,nuke,62.8,451,451
Virtus.pro,11,FaZe,16,inf,,451,451
HellRaisers,8,mousesports,16,cch,60,129,341
Astralis,9,G2,16,cch,58.5,1000,67
Virtus.pro,10,FaZe,16,inf,,1000,451
mousesports,16,HellRaisers,12,mrg,61.8,341,129
G2,16,Astralis,12,trn,47,67,1000
FaZe,16,Virtus.pro,4,trn,57.5,451,1000
North,16,Kinguin,5,inf,57.6,280,65
Kinguin,11,North,16,cbl,57.4,65,280
Heroic,16,Virtus.pro,9,trn,49.6,117,280
Virtus.pro,1,Heroic,16,nuke,,117,117
G2,13,Natus Vincere,16,ovp,50.5,67,558
Natus Vincere,10,G2,16,nuke,46.6,558,67
Astralis,12,NiP,16,cch,58.5,1000,352
NiP,12,Astralis,16,inf,60.3,352,1000
mousesports,19,FaZe,17,inf,49.1,341,451
FaZe,16,mousesports,10,ovp,61.2,451,341
OpTic,4,SK,16,ovp,59.3,156,341
SK,15,OpTic,19,cch,,156,156
Astralis,16,G2,12,trn,63.6,1000,67
G2,16,Astralis,6,nuke,62.1,67,1000
Immortals,13,Cloud9,16,cbl,,67,84
Cloud9,6,Immortals,16,cch,61.6,84,84
OpTic,16,CLG,11,trn,52.1,156,84
CLG,16,OpTic,13,cch,,156,156
Virtus.pro,16,Astralis,8,trn,,156,1000
Astralis,16,Virtus.pro,9,inf,71.9,1000,1000
OpTic,11,Liquid,16,cbl,55.2,156,455
Liquid,16,OpTic,8,cbl,64,455,156
NiP,14,Astralis,16,cch,60.1,352,1000
Astralis,14,NiP,16,trn,63.6,1000,352
Liquid,16,SK,14,inf,63.6,455,352
SK,16,Liquid,9,mrg,,455,455
CLG,6,Immortals,16,ovp,,455,455
Immortals,16,CLG,8,inf,,455,455
FaZe,25,North,22,mrg,62.8,451,280
mousesports,11,G2,16,nuke,57,341,67
North,14,FaZe,16,cch,52.4,280,451
G2,16,mousesports,10,cbl,55.7,67,341
fnatic,16,HellRaisers,14,cch,62.6,183,129
NiP,16,Virtus.pro,9,cbl,57.8,352,129
HellRaisers,10,fnatic,16,cbl,56.2,129,183
Virtus.pro,16,NiP,6,nuke,,129,352
Cloud9,16,SK,10,cch,61.6,84,352
SK,16,Cloud9,12,inf,,84,84
OpTic,14,Liquid,16,cbl,55.2,156,455
Liquid,16,OpTic,13,nuke,39.2,455,156
NiP,9,G2,16,trn,68.3,352,67
Astralis,16,HellRaisers,14,mrg,69.7,1000,129
G2,16,NiP,10,cbl,55.7,67,352
HellRaisers,9,Astralis,16,ovp,55.9,129,1000
Natus Vincere,16,Kinguin,5,inf,53.9,558,65
Kinguin,6,Natus Vincere,16,mrg,59.6,65,558
fnatic,6,Heroic,16,cbl,65.2,183,117
Heroic,11,fnatic,16,trn,49.6,117,183
fnatic,16,NiP,7,trn,58,183,352
FaZe,16,SK,7,trn,57.5,451,352
Astralis,16,SK,12,trn,63.6,1000,352
HellRaisers,16,NiP,13,ovp,55.9,129,352
